Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
273.817,108.306,165.511,302563,1,FKBPTagPOI,09-Registered,postRapalog_EmptyV_BIF1/
1396.934,116.254,1280.680,305534,0,ATG9Cargo,09-Registered,postRapalog_EmptyV_BIF1/
812.892,116.254,696.637,302563,1,ATG9Cargo,09-Registered,postRapalog_EmptyV_BIF1/
416.003,110.938,305.065,380271,0,FKBPTagPOI,10-Registered,postRapalog_EmptyV_BIF1/
297.331,110.938,186.394,248353,1,FKBPTagPOI,10-Registered,postRapalog_EmptyV_BIF1/
767.243,118.921,648.322,380271,0,ATG9Cargo,10-Registered,postRapalog_EmptyV_BIF1/
461.125,118.921,342.204,248353,1,ATG9Cargo,10-Registered,postRapalog_EmptyV_BIF1/
607.982,107.809,500.173,351066,0,FKBPTagPOI,11-Registered,postRapalog_EmptyV_BIF1/
252.093,107.809,144.283,297440,1,FKBPTagPOI,11-Registered,postRapalog_EmptyV_BIF1/
1404.463,118.718,1285.744,351066,0,ATG9Cargo,11-Registered,postRapalog_EmptyV_BIF1/
991.589,118.718,872.871,297440,1,ATG9Cargo,11-Registered,postRapalog_EmptyV_BIF1/
798.371,106.276,692.094,209682,0,FKBPTagPOI,12-Registered,postRapalog_EmptyV_BIF1/
443.361,106.276,337.084,276203,1,FKBPTagPOI,12-Registered,postRapalog_EmptyV_BIF1/
1865.010,111.444,1753.566,209682,0,ATG9Cargo,12-Registered,postRapalog_EmptyV_BIF1/
1157.189,111.444,1045.746,276203,1,ATG9Cargo,12-Registered,postRapalog_EmptyV_BIF1/
1068.201,106.733,961.468,292895,0,FKBPTagPOI,13-Registered,postRapalog_EmptyV_BIF1/
472.156,106.733,365.424,311078,1,FKBPTagPOI,13-Registered,postRapalog_EmptyV_BIF1/
1374.308,114.567,1259.740,292895,0,ATG9Cargo,13-Registered,postRapalog_EmptyV_BIF1/
976.410,114.567,861.843,311078,1,ATG9Cargo,13-Registered,postRapalog_EmptyV_BIF1/
851.153,107.506,743.646,218978,0,FKBPTagPOI,14-Registered,postRapalog_EmptyV_BIF1/
333.846,107.506,226.340,270472,1,FKBPTagPOI,14-Registered,postRapalog_EmptyV_BIF1/
988.077,116.133,871.944,218978,0,ATG9Cargo,14-Registered,postRapalog_EmptyV_BIF1/
717.817,116.133,601.684,270472,1,ATG9Cargo,14-Registered,postRapalog_EmptyV_BIF1/
390.109,121.124,268.985,317915,0,FKBPTagPOI,15-Registered,postRapalog_EmptyV_BIF1/
364.704,121.124,243.580,389768,1,FKBPTagPOI,15-Registered,postRapalog_EmptyV_BIF1/
1206.541,118.902,1087.639,317915,0,ATG9Cargo,15-Registered,postRapalog_EmptyV_BIF1/
