 ,Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
73,508.10,105.09,403.02,135712,0,FKBPTagPOI,19-Registered,postRapalog_ATG9_DAGLB/
74,218.14,105.09,113.05,167097,1,FKBPTagPOI,19-Registered,postRapalog_ATG9_DAGLB/
75,2389.01,106.92,2282.09,135712,0,ATG9Cargo,19-Registered,postRapalog_ATG9_DAGLB/
76,1027.15,106.92,920.24,167097,1,ATG9Cargo,19-Registered,postRapalog_ATG9_DAGLB/
77,581.68,105.99,475.69,210276,0,FKBPTagPOI,20-Registered,postRapalog_ATG9_DAGLB/
78,259.15,105.99,153.16,242219,1,FKBPTagPOI,20-Registered,postRapalog_ATG9_DAGLB/
79,1675.98,108.50,1567.48,210276,0,ATG9Cargo,20-Registered,postRapalog_ATG9_DAGLB/
80,894.51,108.50,786.01,242219,1,ATG9Cargo,20-Registered,postRapalog_ATG9_DAGLB/
81,382.71,106.22,276.49,167914,0,FKBPTagPOI,21-Registered,postRapalog_ATG9_DAGLB/
82,192.74,106.22,86.53,201239,1,FKBPTagPOI,21-Registered,postRapalog_ATG9_DAGLB/
83,1222.53,109.66,1112.87,167914,0,ATG9Cargo,21-Registered,postRapalog_ATG9_DAGLB/
84,711.98,109.66,602.32,201239,1,ATG9Cargo,21-Registered,postRapalog_ATG9_DAGLB/
85,1378.75,105.24,1273.51,245595,0,FKBPTagPOI,22-Registered,postRapalog_ATG9_DAGLB/
86,374.44,105.24,269.20,255294,1,FKBPTagPOI,22-Registered,postRapalog_ATG9_DAGLB/
87,2268.93,106.84,2162.09,245595,0,ATG9Cargo,22-Registered,postRapalog_ATG9_DAGLB/
88,967.73,106.84,860.89,255294,1,ATG9Cargo,22-Registered,postRapalog_ATG9_DAGLB/
89,713.59,105.21,608.38,85001,0,FKBPTagPOI,23-Registered,postRapalog_ATG9_DAGLB/
90,257.87,105.21,152.66,165973,1,FKBPTagPOI,23-Registered,postRapalog_ATG9_DAGLB/
91,723.59,107.42,616.17,85001,0,ATG9Cargo,23-Registered,postRapalog_ATG9_DAGLB/
92,455.98,107.42,348.56,165973,1,ATG9Cargo,23-Registered,postRapalog_ATG9_DAGLB/
93,891.53,108.06,783.47,235367,0,FKBPTagPOI,24-Registered,postRapalog_ATG9_DAGLB/
94,287.48,108.06,179.42,285923,1,FKBPTagPOI,24-Registered,postRapalog_ATG9_DAGLB/
95,2722.09,112.76,2609.33,235367,0,ATG9Cargo,24-Registered,postRapalog_ATG9_DAGLB/
96,1183.06,112.76,1070.30,285923,1,ATG9Cargo,24-Registered,postRapalog_ATG9_DAGLB/
97,375.78,105.58,270.21,106857,0,FKBPTagPOI,25-Registered,postRapalog_ATG9_DAGLB/
98,194.83,105.58,89.25,204814,1,FKBPTagPOI,25-Registered,postRapalog_ATG9_DAGLB/
99,1621.40,110.04,1511.36,106857,0,ATG9Cargo,25-Registered,postRapalog_ATG9_DAGLB/
100,776.44,110.04,666.40,204814,1,ATG9Cargo,25-Registered,postRapalog_ATG9_DAGLB/
101,393.95,105.36,288.58,236379,0,FKBPTagPOI,02-Registered,postRapalog_EmptyV_DAGLB/
102,191.49,105.36,86.12,227501,1,FKBPTagPOI,02-Registered,postRapalog_EmptyV_DAGLB/
103,957.07,107.07,849.99,236379,0,ATG9Cargo,02-Registered,postRapalog_EmptyV_DAGLB/
104,672.30,107.07,565.23,227501,1,ATG9Cargo,02-Registered,postRapalog_EmptyV_DAGLB/
105,351.89,105.20,246.69,173316,0,FKBPTagPOI,03-Registered,postRapalog_EmptyV_DAGLB/
106,148.81,105.20,43.62,185367,1,FKBPTagPOI,03-Registered,postRapalog_EmptyV_DAGLB/
107,811.88,108.64,703.23,173316,0,ATG9Cargo,03-Registered,postRapalog_EmptyV_DAGLB/
108,420.11,108.64,311.46,185367,1,ATG9Cargo,03-Registered,postRapalog_EmptyV_DAGLB/
109,580.33,104.72,475.61,270182,0,FKBPTagPOI,04-Registered,postRapalog_EmptyV_DAGLB/
110,248.57,104.72,143.85,300434,1,FKBPTagPOI,04-Registered,postRapalog_EmptyV_DAGLB/
111,1669.43,106.84,1562.59,270182,0,ATG9Cargo,04-Registered,postRapalog_EmptyV_DAGLB/
112,1059.15,106.84,952.31,300434,1,ATG9Cargo,04-Registered,postRapalog_EmptyV_DAGLB/
113,1097.10,107.71,989.39,340109,0,FKBPTagPOI,05-Registered,postRapalog_EmptyV_DAGLB/
114,449.87,107.71,342.16,367364,1,FKBPTagPOI,05-Registered,postRapalog_EmptyV_DAGLB/
115,1554.30,109.67,1444.63,340109,0,ATG9Cargo,05-Registered,postRapalog_EmptyV_DAGLB/
116,1046.67,109.67,937.00,367364,1,ATG9Cargo,05-Registered,postRapalog_EmptyV_DAGLB/
117,330.63,105.22,225.41,187388,0,FKBPTagPOI,06-Registered,postRapalog_EmptyV_DAGLB/
118,147.85,105.22,42.63,227506,1,FKBPTagPOI,06-Registered,postRapalog_EmptyV_DAGLB/
119,830.54,107.96,722.58,187388,0,ATG9Cargo,06-Registered,postRapalog_EmptyV_DAGLB/
120,726.39,107.96,618.43,227506,1,ATG9Cargo,06-Registered,postRapalog_EmptyV_DAGLB/
121,564.99,105.74,459.26,242676,0,FKBPTagPOI,07-Registered,postRapalog_EmptyV_DAGLB/
122,275.63,105.74,169.89,252750,1,FKBPTagPOI,07-Registered,postRapalog_EmptyV_DAGLB/
123,1050.10,110.00,940.10,242676,0,ATG9Cargo,07-Registered,postRapalog_EmptyV_DAGLB/
124,849.86,110.00,739.85,252750,1,ATG9Cargo,07-Registered,postRapalog_EmptyV_DAGLB/
125,930.63,105.76,824.87,77181,0,FKBPTagPOI,08-Registered,postRapalog_EmptyV_DAGLB/
126,221.07,105.76,115.31,89541,1,FKBPTagPOI,08-Registered,postRapalog_EmptyV_DAGLB/
127,1271.04,107.68,1163.36,77181,0,ATG9Cargo,08-Registered,postRapalog_EmptyV_DAGLB/
128,914.76,107.68,807.08,89541,1,ATG9Cargo,08-Registered,postRapalog_EmptyV_DAGLB/
129,374.60,105.27,269.33,210094,0,FKBPTagPOI,09-Registered,postRapalog_EmptyV_DAGLB/
130,180.32,105.27,75.05,229256,1,FKBPTagPOI,09-Registered,postRapalog_EmptyV_DAGLB/
131,1924.55,109.09,1815.46,210094,0,ATG9Cargo,09-Registered,postRapalog_EmptyV_DAGLB/
132,1396.15,109.09,1287.06,229256,1,ATG9Cargo,09-Registered,postRapalog_EmptyV_DAGLB/
133,514.64,107.37,407.28,303418,0,FKBPTagPOI,10-Registered,postRapalog_EmptyV_DAGLB/
134,221.69,107.37,114.33,349935,1,FKBPTagPOI,10-Registered,postRapalog_EmptyV_DAGLB/
135,2505.29,112.12,2393.17,303418,0,ATG9Cargo,10-Registered,postRapalog_EmptyV_DAGLB/
136,1388.32,112.12,1276.20,349935,1,ATG9Cargo,10-Registered,postRapalog_EmptyV_DAGLB/
137,653.64,106.25,547.40,277486,0,FKBPTagPOI,11-Registered,postRapalog_EmptyV_DAGLB/
138,272.48,106.25,166.23,334256,1,FKBPTagPOI,11-Registered,postRapalog_EmptyV_DAGLB/
139,1384.05,108.74,1275.31,277486,0,ATG9Cargo,11-Registered,postRapalog_EmptyV_DAGLB/
140,921.52,108.74,812.79,334256,1,ATG9Cargo,11-Registered,postRapalog_EmptyV_DAGLB/
141,698.33,109.52,588.81,256357,0,FKBPTagPOI,12-Registered,postRapalog_EmptyV_DAGLB/
142,316.46,109.52,206.93,378559,1,FKBPTagPOI,12-Registered,postRapalog_EmptyV_DAGLB/
143,515.22,112.20,403.02,256357,0,ATG9Cargo,12-Registered,postRapalog_EmptyV_DAGLB/
144,372.13,112.20,259.93,378559,1,ATG9Cargo,12-Registered,postRapalog_EmptyV_DAGLB/
145,592.23,105.97,486.26,393005,0,FKBPTagPOI,13-Registered,postRapalog_EmptyV_DAGLB/
146,196.93,105.97,90.97,370027,1,FKBPTagPOI,13-Registered,postRapalog_EmptyV_DAGLB/
147,886.45,109.05,777.40,393005,0,ATG9Cargo,13-Registered,postRapalog_EmptyV_DAGLB/
