Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
314.458,105.059,209.399,276467,0,FKBPTagPOI,04-Registered,postRapalog_EmptyV_PI4K3b/
152.727,105.059,47.668,238262,1,FKBPTagPOI,04-Registered,postRapalog_EmptyV_PI4K3b/
699.791,110.048,589.743,276467,0,ATG9Cargo,04-Registered,postRapalog_EmptyV_PI4K3b/
496.557,110.048,386.509,238262,1,ATG9Cargo,04-Registered,postRapalog_EmptyV_PI4K3b/
347.929,106.060,241.869,246829,0,FKBPTagPOI,05-Registered,postRapalog_EmptyV_PI4K3b/
141.157,106.060,35.097,244111,1,FKBPTagPOI,05-Registered,postRapalog_EmptyV_PI4K3b/
902.301,108.884,793.417,246829,0,ATG9Cargo,05-Registered,postRapalog_EmptyV_PI4K3b/
673.650,108.884,564.766,244111,1,ATG9Cargo,05-Registered,postRapalog_EmptyV_PI4K3b/
424.862,105.216,319.646,171798,0,FKBPTagPOI,06-Registered,postRapalog_EmptyV_PI4K3b/
160.670,105.216,55.454,208898,1,FKBPTagPOI,06-Registered,postRapalog_EmptyV_PI4K3b/
1563.453,112.746,1450.707,171798,0,ATG9Cargo,06-Registered,postRapalog_EmptyV_PI4K3b/
1117.760,112.746,1005.014,208898,1,ATG9Cargo,06-Registered,postRapalog_EmptyV_PI4K3b/
346.288,105.840,240.448,147285,0,FKBPTagPOI,07-Registered,postRapalog_EmptyV_PI4K3b/
156.990,105.840,51.150,173154,1,FKBPTagPOI,07-Registered,postRapalog_EmptyV_PI4K3b/
856.817,109.325,747.492,147285,0,ATG9Cargo,07-Registered,postRapalog_EmptyV_PI4K3b/
465.670,109.325,356.345,173154,1,ATG9Cargo,07-Registered,postRapalog_EmptyV_PI4K3b/
317.813,105.780,212.033,185560,0,FKBPTagPOI,08-Registered,postRapalog_EmptyV_PI4K3b/
161.114,105.780,55.333,287131,1,FKBPTagPOI,08-Registered,postRapalog_EmptyV_PI4K3b/
904.052,110.291,793.760,185560,0,ATG9Cargo,08-Registered,postRapalog_EmptyV_PI4K3b/
529.828,110.291,419.537,287131,1,ATG9Cargo,08-Registered,postRapalog_EmptyV_PI4K3b/
494.300,106.051,388.249,176296,0,FKBPTagPOI,09-Registered,postRapalog_EmptyV_PI4K3b/
185.198,106.051,79.147,251374,1,FKBPTagPOI,09-Registered,postRapalog_EmptyV_PI4K3b/
1100.943,111.484,989.459,176296,0,ATG9Cargo,09-Registered,postRapalog_EmptyV_PI4K3b/
963.272,111.484,851.788,251374,1,ATG9Cargo,09-Registered,postRapalog_EmptyV_PI4K3b/
416.263,105.058,311.205,158352,0,FKBPTagPOI,10-Registered,postRapalog_EmptyV_PI4K3b/
225.837,105.058,120.778,178561,1,FKBPTagPOI,10-Registered,postRapalog_EmptyV_PI4K3b/
842.992,110.044,732.948,158352,0,ATG9Cargo,10-Registered,postRapalog_EmptyV_PI4K3b/
471.633,110.044,361.590,178561,1,ATG9Cargo,10-Registered,postRapalog_EmptyV_PI4K3b/
234.109,105.835,128.273,164966,0,FKBPTagPOI,11-Registered,postRapalog_EmptyV_PI4K3b/
135.303,105.835,29.468,198935,1,FKBPTagPOI,11-Registered,postRapalog_EmptyV_PI4K3b/
722.779,110.245,612.534,164966,0,ATG9Cargo,11-Registered,postRapalog_EmptyV_PI4K3b/
451.984,110.245,341.738,198935,1,ATG9Cargo,11-Registered,postRapalog_EmptyV_PI4K3b/
582.310,105.202,477.108,257067,0,FKBPTagPOI,12-Registered,postRapalog_EmptyV_PI4K3b/
274.619,105.202,169.417,356519,1,FKBPTagPOI,12-Registered,postRapalog_EmptyV_PI4K3b/
1344.696,113.281,1231.415,257067,0,ATG9Cargo,12-Registered,postRapalog_EmptyV_PI4K3b/
921.675,113.281,808.393,356519,1,ATG9Cargo,12-Registered,postRapalog_EmptyV_PI4K3b/
462.250,106.052,356.198,273179,0,FKBPTagPOI,13-Registered,postRapalog_EmptyV_PI4K3b/
205.726,106.052,99.674,250439,1,FKBPTagPOI,13-Registered,postRapalog_EmptyV_PI4K3b/
1631.799,114.953,1516.846,273179,0,ATG9Cargo,13-Registered,postRapalog_EmptyV_PI4K3b/
1047.361,114.953,932.408,250439,1,ATG9Cargo,13-Registered,postRapalog_EmptyV_PI4K3b/
702.148,104.497,597.651,85572,0,FKBPTagPOI,14-Registered,postRapalog_EmptyV_PI4K3b/
232.787,104.497,128.290,119189,1,FKBPTagPOI,14-Registered,postRapalog_EmptyV_PI4K3b/
1687.769,108.423,1579.346,85572,0,ATG9Cargo,14-Registered,postRapalog_EmptyV_PI4K3b/
940.422,108.423,831.999,119189,1,ATG9Cargo,14-Registered,postRapalog_EmptyV_PI4K3b/
429.929,105.789,324.140,130891,0,FKBPTagPOI,15-Registered,postRapalog_EmptyV_PI4K3b/
158.267,105.789,52.478,210870,1,FKBPTagPOI,15-Registered,postRapalog_EmptyV_PI4K3b/
1394.053,111.399,1282.654,130891,0,ATG9Cargo,15-Registered,postRapalog_EmptyV_PI4K3b/
955.654,111.399,844.255,210870,1,ATG9Cargo,15-Registered,postRapalog_EmptyV_PI4K3b/
307.361,104.074,203.287,260433,0,FKBPTagPOI,16-Registered,postRapalog_EmptyV_PI4K3b/
148.716,104.074,44.642,277718,1,FKBPTagPOI,16-Registered,postRapalog_EmptyV_PI4K3b/
1851.054,109.118,1741.936,260433,0,ATG9Cargo,16-Registered,postRapalog_EmptyV_PI4K3b/
1085.474,109.118,976.356,277718,1,ATG9Cargo,16-Registered,postRapalog_EmptyV_PI4K3b/
519.345,104.907,414.438,274522,0,FKBPTagPOI,17-Registered,postRapalog_EmptyV_PI4K3b/
235.581,104.907,130.674,337542,1,FKBPTagPOI,17-Registered,postRapalog_EmptyV_PI4K3b/
591.857,109.838,482.020,274522,0,ATG9Cargo,17-Registered,postRapalog_EmptyV_PI4K3b/
391.754,109.838,281.917,337542,1,ATG9Cargo,17-Registered,postRapalog_EmptyV_PI4K3b/
345.770,104.365,241.405,184261,0,FKBPTagPOI,18-Registered,postRapalog_EmptyV_PI4K3b/
179.530,104.365,75.165,123961,1,FKBPTagPOI,18-Registered,postRapalog_EmptyV_PI4K3b/
1092.916,110.113,982.803,184261,0,ATG9Cargo,18-Registered,postRapalog_EmptyV_PI4K3b/
701.626,110.113,591.513,123961,1,ATG9Cargo,18-Registered,postRapalog_EmptyV_PI4K3b/
263.717,104.306,159.410,204955,0,FKBPTagPOI,19-Registered,postRapalog_EmptyV_PI4K3b/
141.027,104.306,36.720,167525,1,FKBPTagPOI,19-Registered,postRapalog_EmptyV_PI4K3b/
2180.105,109.246,2070.859,204955,0,ATG9Cargo,19-Registered,postRapalog_EmptyV_PI4K3b/
892.337,109.246,783.091,167525,1,ATG9Cargo,19-Registered,postRapalog_EmptyV_PI4K3b/
392.195,109.344,282.851,58588,0,FKBPTagPOI,01-Registered,postRapalog_TPDmut_PI4K3b/
156.096,109.344,46.751,100009,1,FKBPTagPOI,01-Registered,postRapalog_TPDmut_PI4K3b/
334.540,110.354,224.186,58588,0,ATG9Cargo,01-Registered,postRapalog_TPDmut_PI4K3b/
274.792,110.354,164.438,100009,1,ATG9Cargo,01-Registered,postRapalog_TPDmut_PI4K3b/
654.853,108.419,546.434,276090,0,FKBPTagPOI,02-Registered,postRapalog_TPDmut_PI4K3b/
307.215,108.419,198.796,358343,1,FKBPTagPOI,02-Registered,postRapalog_TPDmut_PI4K3b/
873.253,110.257,762.996,276090,0,ATG9Cargo,02-Registered,postRapalog_TPDmut_PI4K3b/
549.162,110.257,438.905,358343,1,ATG9Cargo,02-Registered,postRapalog_TPDmut_PI4K3b/
711.745,106.284,605.460,184564,0,FKBPTagPOI,03-Registered,postRapalog_TPDmut_PI4K3b/
308.183,106.284,201.899,220647,1,FKBPTagPOI,03-Registered,postRapalog_TPDmut_PI4K3b/
593.658,106.900,486.757,184564,0,ATG9Cargo,03-Registered,postRapalog_TPDmut_PI4K3b/
434.021,106.900,327.120,220647,1,ATG9Cargo,03-Registered,postRapalog_TPDmut_PI4K3b/
2512.885,106.908,2405.978,125647,0,FKBPTagPOI,04-Registered,postRapalog_TPDmut_PI4K3b/
1120.721,106.908,1013.814,219150,1,FKBPTagPOI,04-Registered,postRapalog_TPDmut_PI4K3b/
741.121,107.375,633.746,125647,0,ATG9Cargo,04-Registered,postRapalog_TPDmut_PI4K3b/
505.429,107.375,398.054,219150,1,ATG9Cargo,04-Registered,postRapalog_TPDmut_PI4K3b/
2236.738,106.330,2130.408,149830,0,FKBPTagPOI,05-Registered,postRapalog_TPDmut_PI4K3b/
726.994,106.330,620.664,191121,1,FKBPTagPOI,05-Registered,postRapalog_TPDmut_PI4K3b/
1271.868,106.789,1165.079,149830,0,ATG9Cargo,05-Registered,postRapalog_TPDmut_PI4K3b/
940.406,106.789,833.617,191121,1,ATG9Cargo,05-Registered,postRapalog_TPDmut_PI4K3b/
1071.398,107.662,963.736,112173,0,FKBPTagPOI,07-Registered,postRapalog_TPDmut_PI4K3b/
378.407,107.662,270.744,172016,1,FKBPTagPOI,07-Registered,postRapalog_TPDmut_PI4K3b/
666.913,108.483,558.430,112173,0,ATG9Cargo,07-Registered,postRapalog_TPDmut_PI4K3b/
476.827,108.483,368.344,172016,1,ATG9Cargo,07-Registered,postRapalog_TPDmut_PI4K3b/
553.293,107.302,445.991,136893,0,FKBPTagPOI,08-Registered,postRapalog_TPDmut_PI4K3b/
205.787,107.302,98.485,178119,1,FKBPTagPOI,08-Registered,postRapalog_TPDmut_PI4K3b/
695.033,107.960,587.073,136893,0,ATG9Cargo,08-Registered,postRapalog_TPDmut_PI4K3b/
491.162,107.960,383.202,178119,1,ATG9Cargo,08-Registered,postRapalog_TPDmut_PI4K3b/
1142.820,108.520,1034.300,242115,0,FKBPTagPOI,09-Registered,postRapalog_TPDmut_PI4K3b/
268.689,108.520,160.170,312925,1,FKBPTagPOI,09-Registered,postRapalog_TPDmut_PI4K3b/
559.973,111.396,448.577,242115,0,ATG9Cargo,09-Registered,postRapalog_TPDmut_PI4K3b/
442.611,111.396,331.215,312925,1,ATG9Cargo,09-Registered,postRapalog_TPDmut_PI4K3b/
1033.323,108.246,925.077,83311,0,FKBPTagPOI,10-Registered,postRapalog_TPDmut_PI4K3b/
308.416,108.246,200.170,137471,1,FKBPTagPOI,10-Registered,postRapalog_TPDmut_PI4K3b/
422.131,109.716,312.415,83311,0,ATG9Cargo,10-Registered,postRapalog_TPDmut_PI4K3b/
298.896,109.716,189.180,137471,1,ATG9Cargo,10-Registered,postRapalog_TPDmut_PI4K3b/
221.139,108.649,112.490,95496,0,FKBPTagPOI,11-Registered,postRapalog_TPDmut_PI4K3b/
139.604,108.649,30.955,113071,1,FKBPTagPOI,11-Registered,postRapalog_TPDmut_PI4K3b/
315.409,112.809,202.600,95496,0,ATG9Cargo,11-Registered,postRapalog_TPDmut_PI4K3b/
209.069,112.809,96.260,113071,1,ATG9Cargo,11-Registered,postRapalog_TPDmut_PI4K3b/
403.724,108.372,295.352,91425,0,FKBPTagPOI,12-Registered,postRapalog_TPDmut_PI4K3b/
211.020,108.372,102.647,153691,1,FKBPTagPOI,12-Registered,postRapalog_TPDmut_PI4K3b/
572.796,111.866,460.930,91425,0,ATG9Cargo,12-Registered,postRapalog_TPDmut_PI4K3b/
363.901,111.866,252.035,153691,1,ATG9Cargo,12-Registered,postRapalog_TPDmut_PI4K3b/
1153.518,108.786,1044.732,159626,0,FKBPTagPOI,14-Registered,postRapalog_TPDmut_PI4K3b/
500.562,108.786,391.776,244465,1,FKBPTagPOI,14-Registered,postRapalog_TPDmut_PI4K3b/
672.360,111.101,561.258,159626,0,ATG9Cargo,14-Registered,postRapalog_TPDmut_PI4K3b/
503.674,111.101,392.573,244465,1,ATG9Cargo,14-Registered,postRapalog_TPDmut_PI4K3b/
485.136,107.670,377.466,167046,0,FKBPTagPOI,15-Registered,postRapalog_TPDmut_PI4K3b/
241.741,107.670,134.071,243845,1,FKBPTagPOI,15-Registered,postRapalog_TPDmut_PI4K3b/
827.295,110.729,716.566,167046,0,ATG9Cargo,15-Registered,postRapalog_TPDmut_PI4K3b/
564.436,110.729,453.707,243845,1,ATG9Cargo,15-Registered,postRapalog_TPDmut_PI4K3b/
