Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
650.860,117.661,533.198,297379,1,FKBPTagPOI,02-Registered,postRapalog_TPDwt_PI4K2a/
1020.616,109.172,911.444,141972,0,ATG9Cargo,02-Registered,postRapalog_TPDwt_PI4K2a/
504.312,109.172,395.140,297379,1,ATG9Cargo,02-Registered,postRapalog_TPDwt_PI4K2a/
1173.901,121.639,1052.261,253640,0,FKBPTagPOI,03-Registered,postRapalog_TPDwt_PI4K2a/
367.409,121.639,245.770,383458,1,FKBPTagPOI,03-Registered,postRapalog_TPDwt_PI4K2a/
321.919,109.507,212.412,253640,0,ATG9Cargo,03-Registered,postRapalog_TPDwt_PI4K2a/
239.061,109.507,129.554,383458,1,ATG9Cargo,03-Registered,postRapalog_TPDwt_PI4K2a/
2416.497,121.125,2295.373,120482,0,FKBPTagPOI,04-Registered,postRapalog_TPDwt_PI4K2a/
470.457,121.125,349.332,308994,1,FKBPTagPOI,04-Registered,postRapalog_TPDwt_PI4K2a/
907.583,108.720,798.863,120482,0,ATG9Cargo,04-Registered,postRapalog_TPDwt_PI4K2a/
388.748,108.720,280.028,308994,1,ATG9Cargo,04-Registered,postRapalog_TPDwt_PI4K2a/
1413.879,126.402,1287.478,322519,0,FKBPTagPOI,05-Registered,postRapalog_TPDwt_PI4K2a/
435.080,126.402,308.678,414635,1,FKBPTagPOI,05-Registered,postRapalog_TPDwt_PI4K2a/
389.598,110.070,279.528,322519,0,ATG9Cargo,05-Registered,postRapalog_TPDwt_PI4K2a/
211.487,110.070,101.417,414635,1,ATG9Cargo,05-Registered,postRapalog_TPDwt_PI4K2a/
1891.150,121.073,1770.076,350817,0,FKBPTagPOI,06-Registered,postRapalog_TPDwt_PI4K2a/
473.117,121.073,352.043,485807,1,FKBPTagPOI,06-Registered,postRapalog_TPDwt_PI4K2a/
763.489,109.005,654.484,350817,0,ATG9Cargo,06-Registered,postRapalog_TPDwt_PI4K2a/
501.079,109.005,392.074,485807,1,ATG9Cargo,06-Registered,postRapalog_TPDwt_PI4K2a/
1792.241,118.145,1674.096,196497,0,FKBPTagPOI,07-Registered,postRapalog_TPDwt_PI4K2a/
468.088,118.145,349.943,292679,1,FKBPTagPOI,07-Registered,postRapalog_TPDwt_PI4K2a/
813.466,108.059,705.408,196497,0,ATG9Cargo,07-Registered,postRapalog_TPDwt_PI4K2a/
391.429,108.059,283.370,292679,1,ATG9Cargo,07-Registered,postRapalog_TPDwt_PI4K2a/
1111.866,116.228,995.637,66524,0,FKBPTagPOI,08-Registered,postRapalog_TPDwt_PI4K2a/
707.640,116.228,591.411,150461,1,FKBPTagPOI,08-Registered,postRapalog_TPDwt_PI4K2a/
835.391,105.557,729.834,66524,0,ATG9Cargo,08-Registered,postRapalog_TPDwt_PI4K2a/
669.283,105.557,563.726,150461,1,ATG9Cargo,08-Registered,postRapalog_TPDwt_PI4K2a/
938.031,116.310,821.721,187477,0,FKBPTagPOI,10-Registered,postRapalog_TPDwt_PI4K2a/
591.510,116.310,475.200,249720,1,FKBPTagPOI,10-Registered,postRapalog_TPDwt_PI4K2a/
465.536,106.034,359.502,187477,0,ATG9Cargo,10-Registered,postRapalog_TPDwt_PI4K2a/
342.834,106.034,236.799,249720,1,ATG9Cargo,10-Registered,postRapalog_TPDwt_PI4K2a/
1597.156,115.804,1481.352,75581,0,FKBPTagPOI,11-Registered,postRapalog_TPDwt_PI4K2a/
807.022,115.804,691.218,102660,1,FKBPTagPOI,11-Registered,postRapalog_TPDwt_PI4K2a/
819.604,105.377,714.228,75581,0,ATG9Cargo,11-Registered,postRapalog_TPDwt_PI4K2a/
631.279,105.377,525.903,102660,1,ATG9Cargo,11-Registered,postRapalog_TPDwt_PI4K2a/
1734.907,116.646,1618.261,156815,0,FKBPTagPOI,12-Registered,postRapalog_TPDwt_PI4K2a/
365.871,116.646,249.226,223296,1,FKBPTagPOI,12-Registered,postRapalog_TPDwt_PI4K2a/
612.800,106.618,506.181,156815,0,ATG9Cargo,12-Registered,postRapalog_TPDwt_PI4K2a/
264.190,106.618,157.571,223296,1,ATG9Cargo,12-Registered,postRapalog_TPDwt_PI4K2a/
2395.852,119.536,2276.316,164832,0,FKBPTagPOI,13-Registered,postRapalog_TPDwt_PI4K2a/
560.101,119.536,440.565,281077,1,FKBPTagPOI,13-Registered,postRapalog_TPDwt_PI4K2a/
529.809,107.969,421.841,164832,0,ATG9Cargo,13-Registered,postRapalog_TPDwt_PI4K2a/
262.974,107.969,155.006,281077,1,ATG9Cargo,13-Registered,postRapalog_TPDwt_PI4K2a/
2342.637,129.103,2213.535,305532,0,FKBPTagPOI,14-Registered,postRapalog_TPDwt_PI4K2a/
543.216,129.103,414.113,512066,1,FKBPTagPOI,14-Registered,postRapalog_TPDwt_PI4K2a/
561.655,108.608,453.047,305532,0,ATG9Cargo,14-Registered,postRapalog_TPDwt_PI4K2a/
249.628,108.608,141.019,512066,1,ATG9Cargo,14-Registered,postRapalog_TPDwt_PI4K2a/
3531.969,119.246,3412.724,117784,0,FKBPTagPOI,15-Registered,postRapalog_TPDwt_PI4K2a/
937.840,119.246,818.594,194001,1,FKBPTagPOI,15-Registered,postRapalog_TPDwt_PI4K2a/
873.105,106.555,766.551,117784,0,ATG9Cargo,15-Registered,postRapalog_TPDwt_PI4K2a/
378.257,106.555,271.702,194001,1,ATG9Cargo,15-Registered,postRapalog_TPDwt_PI4K2a/
