"Gene.names","INV"
"PIPSL",62292.1348753407
"MYH14",49420.2611032051
"HSP90AB1",66703.369094375
"LDHB",65437.2231893012
"NUDC",62327.6407106155
"EZR",69902.6180387059
"EEF1G",71074.488471782
"PDLIM5",56325.971796976
"MYH9",51695.3380246424
"GPI",72397.2594525458
"HNRNPM",61317.063475811
"NSF",67503.7734843786
"RAC1",62675.9582470158
"IMMT",53402.0760242003
"CYB5B",66894.670644919
"GPD2",58451.2741900618
"PGK1",60478.4374301552
"CLIC1",48461.8940467561
"CDK1",66457.0514883208
"ATL3",63892.6634780887
"CDC42SE2",66087.1350875868
"PRKCA",64623.6934508765
"ACADM",56413.4079452703
"TRIP13",77704.2278387487
"PRMT1",58253.7850794921
"DDX39B",61185.0047959053
"MTDH",69414.4579139179
"LMNA",642672.591843782
"PPFIBP1",59369.537985058
"LRPPRC",72235.0878880752
"TM9SF2",51695.4286719172
"PFN1",200887.569288422
"EBP",62714.8655205862
"MYO1B",147698.087849068
"PRDX6",57391.1183116875
"ESYT2",58928.3926462444
"TMPO",99061.8719791245
"DLST",50254.7562712553
"SLC39A10",52427.305625241
"ARF4",57139.5591187324
"P4HA1",33500.8513037845
"B2M",41051.3273079721
"SLC9A3R1",46749.3603600458
"PHGDH",55993.4952588026
"RPL23",500583.108752184
"VAPA",57097.8573946138
"YWHAQ",8756657.65499111
"GLIPR2",82815.000423117
"EMD",47841.3714968804
"LAMP2",5602157.34800131
"RPL21",48869.6878517889
"VASN",52840.5694865167
"PTPRF",61240.3440913425
"SNTB2",64176.8544904541
"TUBB",47961.1864258647
"ARHGAP1",48420.9067448433
"CKB",2530311.41149798
"ENG",52257.5423211527
"CPT1A",578932.397889835
"NAMPT",48220.845819105
"PLIN3",130708.699309171
"LRRC8A",235501.906233721
"DAD1",63051.4900229839
"SSR4",81389.8897550211
"CD55",80874.8800100832
"FKBP4",56947.5828167313
"GCN1L1",61558.9005712603
"SCRIB",476606.358856934
"RPS13",44647.8775483175
"CDH13",52281.9943406056
"AGPS",51360.9744766781
"PTPRJ",107512.909926165
"EPHA2",46306.0020653337
"MYH10",144372.858371793
"ITGB4",48549.3503279789
"SEC61B",48917.5925137887
"PARK7",43681.2745535133
"ANPEP",46320.5893955804
"SPCS2",43991.5968410137
"ZDHHC5",41085.6271590319
"RPLP2",173946.039254828
"IARS",54307.4957098934
"LMNB1",64357.5333813529
"CLU",47094.1849133025
"TPI1",50770.9043944754
"CASP14",59312.5712669553
"PEF1",92694.507532382
"PCBP2",39653.2865691855
"NR3C1",67927.6071213098
"SRP68",40309.5788905503
"TUBB3",48111.3268602955
"ARHGEF2",6761160.83185771
"YWHAE",54875.6174358882
"LIMA1",45745.6323876454
"EPPK1",45725.0607220836
"NUP35",44073.8959421522
"HAT1",3931223.59606414
"SAR1B",130964.844312474
"ATAD3A",36620.7810212427
"CLPTM1L",43493.7306539078
"ADAR",30282.8793395629
"RCN2",47256.0158094779
"PRPSAP1",61326.7209824552
"CDK11B",170865.440161644
"PTBP3",43932.5125257342
"USO1",36895.203508848
"CCT3",41573.9942778804
"LIN7C",52853.4102634849
"TUBA1B",49689.0972876183
"RPL10A",36142.8621399624
"TOP2A",41687.6108350895
"CD70",43652.4296913897
"EEF1A1",2334637.7179053
"POFUT1",54433.4461821418
"GOT2",44386.0480976026
"YWHAB",48175.6953366076
"UQCRC1",46771.7379088387
"CTNNBL1",40920.6644582019
"PVR",45815.8152320843
"VIM",50175.5884064279
"P4HA2",39032.7069573573
"PCBP3",38750.5813479096
"RTN3",55288.0061895437
"PGAM1",41739.3535600251
"ACLY",36741.0494825958
"YBX1",55699.6632332701
"CCT8",47454.6557085322
"NSUN2",34241.3709191458
"PSMD11",44597.052346881
"MAT2A",32914.5614439044
"CD3EAP",54518.5194357841
"RAB34",41791.1398686664
"RFC1",33394.2715795765
"EIF4G1",41846.7531499783
"XPO1",33918.7113438382
"CAT",47794.9176771114
"ALDH3B1",62100.3242609634
"RALA",42224.2158881387
"CYSRT1",55870.6630614781
"DNAJA1",45959.197331461
"RPL8",47778.1976028556
"C1QBP",39507.5136737924
"MPP6",36133.1532190294
"SYAP1",36614.8584027849
"CORO1C",45784.8807591046
"UCK2",41944.2777658128
"DBN1",46516.5302284567
"CCT5",38837.9552741205
"MCM4",42068.3679120774
"ATP6V1A",42106.3042808318
"CSPG4",39896.333561598
"NPTN",88325.2054305203
"MAP1B",54518.2783215817
"EPRS",38890.023311971
"KPNA3",50611.1930502521
"PSMC3",44365.8484911266
"CMBL",42425.2452069376
"MTCH2",33518.8972286632
"PDS5A",37154.9340718919
"TUBB4B",31542.3037071745
"APMAP",56359.1459983257
"PDXDC1",43708.8633613815
"CASK",42950.6156712611
"PLXNB2",40719.7694348259
"POR",37172.8884299284
"EEF1A1P5",37817.1680732803
"UBA1",42559.0437595522
"GCLM",44711.4565876662
"PDCD6IP",23718.2770614733
"SDC4",46238.0125480994
"ITGA1",40805.9439146307
"FLOT1",33629.0470926334
"PARP1",21952.5535610186
"SMC1A",47699.1465459548
"CLASP2",37744.6817960091
"SLC12A2",41051.5039699232
"HSDL2",38907.2756629452
"FARSA",52817.5428399602
"RUVBL2",37069.952449315
"DLG1",40832.1502962233
"KARS",43396.5676354956
"MAP4",299917.927052586
"HSPB1",32474.522080318
"HMOX1",33003.2474459984
"ASNA1",36138.1713791467
"IGF2R",43410.6476037589
"SSR3",40801.9133666346
"RHOG",38167.7049057039
"ERBB2IP",668233.458512261
"CYC1",61051.5635923477
"NPR3",48838.6614909671
"TTLL12",36296.9872030883
"PIGS",44163.505468396
"HIST2H3A",37945.6741133403
"ANXA11",31897.7093122758
"TMEM165",33291.8205323645
"PTK7",30263.8268806677
"RPL4",36207.4542141472
"SLC38A1",29138.109477564
"PRDX2",34134.4370234242
"MCM6",38915.8343452307
"NOP58",28288.8093349543
"IPO7",30731.9890243587
"SAR1A",35632.7621152984
"RCN1",31152.8385127972
"UNC45A",46190.7341138811
"NEGR1",48212.9780512823
"NQO1",27550.0511535417
"PODXL",45632.1949316151
"PTGFRN",40587.7721754256
"ERLIN1",1665172.53656835
"CXCR4",43192.7511260384
"CKAP5",45790.8681705321
"THY1",40907.9512664565
"DEK",37710.2196497531
"CSTA",486228.945355643
"EEF1B2",36427.6393798061
"EIF2B4",NA
"COPB1",NA
"ACACA",NA
"DDX47",NA
"FLOT2",NA
"DNM2",NA
"SLC30A1",NA
"S100A9",NA
"PSMA5",NA
"EHD4",NA
"CPNE8",NA
"MYADM",NA
"YARS",NA
"STIP1",NA
"DDX21",NA
"SLC4A7",NA
"PSMD6",NA
"QARS",NA
"SUPT16H",NA
"UNC13D",NA
"NOB1",NA
"CAV1",NA
"GNA13",NA
"ITGA6",NA
"DNAJB11",NA
"MYO1E",NA
"UBA5",NA
"TCF25",NA
"HMX3",NA
"SCARB1",NA
"KPRP",NA
"RRP1",NA
"PCMT1",NA
"FYCO1",NA
"AQP1",NA
"ACTR2",NA
"MAPRE1",NA
"PRKAR2A",NA
"EFR3A",NA
"RAB21",NA
"TMX3",NA
"GATAD2A",NA
"PSME3",NA
"FASN",NA
"SIRPA",NA
"HINT1",NA
"ST13",NA
"RHOB",NA
"UGGT1",NA
"GNB4",NA
"HIST1H4A",NA
"UGDH",NA
"ECH1",NA
"WARS",NA
"LEPRE1",NA
"GLIPR1",NA
"H2AFV",NA
"USP5",NA
"MARK2",NA
"GNB2L1",NA
"ITFG1",NA
"UBR4",NA
"ATL2",NA
"G6PD",NA
"COG5",NA
"SPNS1",NA
"MPRIP",NA
"EIF5B",NA
"HMOX2",NA
"NOTCH2",NA
"PLBD2",NA
"OTUB1",NA
"OCIAD1",NA
"DDRGK1",NA
"RPS4X",NA
"DYNC1I2",NA
"NCLN",NA
"POLR1E",NA
"NSFL1C",NA
"RPL24",NA
"ATAD3B",NA
