"Gene.names","ATG","uid"
"RAC2",310455958.812836,"35"
"RAC3",310455958.812836,"35"
"RALA",90991327.2632251,"110"
"RANBP1",11246049.7396693,"325"
"RBFOX1",21478304.7413053,"255"
"RBFOX2",21478304.7413053,"255"
"RBFOX3",21478304.7413053,"255"
"RBM39",26853444.4565851,"266"
"RBM9",21478304.7413053,"255"
"RCN1",52844525.177518,"420"
"RDH11",14028137.0456196,"367"
"RECQL",15452544.3953841,"247"
"REEP5",164816239.152551,"167"
"RER1",79250133.0480472,"451"
"RHOA",199986186.963274,"498"
"RHOC",199986186.963274,"498"
"RNP24",95060479.3656281,"479"
"RNPS1",40364539.2967605,"160"
"RP11-320F15.1",7834296.42766212,"345"
"RP11-34E5.1",776247116.628693,"83"
"RP3-337H4.3",167494287.602644,"441"
"RPA1",6870684.40014232,"233"
"RPAP3",2466039.33723434,"264"
"RPF2",89330548.3733294,"46"
"RPL39",35237087.1042487,"88"
"RPL39P5",35237087.1042487,"88"
"RPLP1",4897788.19368447,"229"
"RPN1",136144468.246595,"59"
"RPP30",7834296.42766212,"345"
"RPS10",528445251.775181,"12"
"RPS10P5",528445251.775181,"12"
"RPS15",95060479.3656281,"48"
"RPS24",214289060.112006,"30"
"RPSA",108143395.129794,"44"
"RPSAP58",108143395.129794,"44"
"RRM1",73282453.3138904,"55"
"RTN1",157761126.969935,"45"
"RTN3",305399113.801468,"112"
"RTN4",316956746.304349,"39"
"RUSC1",2766941645.41151,"251"
"SACM1L",44977985.4893287,"322"
"SAR1A",42953642.6764887,"209"
"SAR1B",42953642.6764887,"209"
"SARA1",42953642.6764887,"209"
"SARNP",29107171.1806661,"128"
"SARS2",7194489.780037,"279"
"SCAMP1",236047823.318057,"378"
"SCAMP2",103276140.57614,"427"
"SCAMP3",1422328787.12282,"91"
"SCAMP4",130316677.84523,"379"
"SCD",26121613.5439921,"173"
"SDF4",29444216.3379876,"470"
"SEC11A",7998342.55007028,"321"
"SEC11L1",7998342.55007028,"321"
"SEC22A",11587773.5615513,"494"
"SEC23A",638263486.190548,"42"
"SEC23B",20749135.1745491,"164"
"SEC23IP",4677351.41287198,"314"
"SEC24A",12882495.5169313,"234"
"SEC24C",230144181.740851,"341"
"SERINC1",3388441561.39202,"256"
"SERINC3",616595001.861481,"268"
"SERPINH1",95060479.3656281,"51"
"SF3B14",7294575.1025457,"190"
