"Gene.names","logFC_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Ratio_H_L_count_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Intensity_ES_vs_FM_ATG9A.Immunoisolation_intensity_filtered","Intensity_Mix_CTRL.IgM.Immunoisolation","PEP","LFQ","FC10","uid"
"DKFZp781C0423",0.038,3,7.429,0,0,26853444.4565851,1,"266"
"DKFZp781K0743",-0.64,4,7.464,6.598,0,29107171.1806661,0.866,"146"
"DNAJA2",0.316,4,8.016,6.892,0,103752841.581801,1.124,"97"
"DNAJC13",-0.104,68,8.879,7.019,0,756832895.020974,1.86,"73"
"DNAJC7",-0.136,3,7.534,6.845,0,34197944.2513709,0.689,"103"
"DNCL1",-0.005,1,7.383,0,3e-05,24154608.3444494,1,"274"
"DSG2",-0.834,3,7.167,0,0,14689262.7764387,1,"431"
"DTYMK",-0.452,1,7.132,0,0.00011,13551894.1235103,1,"350"
"DYNC1H1",-0.031,124,8.724,7.413,0,529663443.891658,1.311,"40"
"DYNC1LI2",-0.554,1,6.826,0,0,6698846.09416526,1,"374"
"DYNLL1",-0.005,1,7.383,0,3e-05,24154608.3444494,1,"274"
"DYNLL2",-0.005,1,7.383,0,3e-05,24154608.3444494,1,"274"
"ECT2",-0.43,1,6.932,0,0.00417,8550667.12884684,1,"343"
"EEF1A2",0.042,6,7.934,7.098,0,85901352.1505396,0.836,"65"
"EIF2B3",0.092,1,6.538,0,7e-05,3451437.39335856,1,"258"
"EIF3M",0.734,3,7.787,6.933,0,61235039.1724773,0.854,"84"
"EIF4A1",0.217,10,8.421,7.762,0,263633138.582538,0.659,"24"
"EIF4A2",0.217,10,8.421,7.762,0,263633138.582538,0.659,"24"
"EIF4E",-0.211,6,8.384,7.138,0,242102904.673618,1.246,"60"
"ENPP4",-1.035,1,6.389,0,0.00125,2449063.24184475,1,"463"
"ENPP5",0.264,2,7.293,0,0,19633602.7683605,1,"226"
"ENPP7",-1.035,1,6.389,0,0.00125,2449063.24184475,1,"463"
"EPHX1",-0.28,1,6.877,0,0.00317,7533555.63733717,1,"313"
"ERGIC3",-1.199,8,8.104,0,0,127057410.520854,1,"480"
"ERO1L",-0.225,3,7.446,0,0,27925438.4123734,1,"304"
"ERP29",-0.627,2,7.426,0,0,26668586.6452148,1,"392"
"ERP44",-0.833,3,7.911,0,0,81470428.4020839,1,"429"
"ESYT1",-0.622,5,7.722,0,0,52722986.1422823,1,"391"
"ESYT2",-0.738,1,7,0,0,1e+07,1,"418"
"EXOSC3",0.271,1,6.807,0,0,6412095.76585162,1,"225"
"EXOSC7",0.428,1,6.762,0,0,5780960.47405718,1,"211"
"FACL4",-0.117,16,8.584,7.162,0,383707245.492278,1.422,"58"
"FAM120A",0.869,4,7.358,6.4,0,22803420.7200042,0.957999999999999,"172"
"FAM168A",1.051,2,7.341,0,0,21928049.3535045,1,"186"
"FAM18B1",-0.268,4,8.15,0,0,141253754.462276,1,"311"
"FAM18B2",-0.268,4,8.15,0,0,141253754.462276,1,"311"
"FAM18B2-CDRT4",-0.268,4,8.15,0,0,141253754.462276,1,"311"
"FAM3C",-0.728,3,7.513,0,0,32583670.1002009,1,"416"
"FAM45A",-0.231,1,7.059,0,3e-04,11455129.4144554,1,"305"
"FAM45B",-0.231,1,7.059,0,3e-04,11455129.4144554,1,"305"
"FAM91A1",0.053,29,8.676,0,0,474241985.260245,1,"263"
"FBXO17",-0.031,1,6.857,0,0.00317,7194489.780037,1,"279"
"FDX1L",-0.031,1,6.857,0,0.00317,7194489.780037,1,"279"
"FLJ00383",-0.693,4,8.159,0,0,144211535.152487,1,"406"
"FLNA",-0.007,48,8.42,7.613,0,263026799.189538,0.807,"27"
"FLNB",0.54,1,8.205,0,0,160324539.069004,1,"202"
"FLOT1",-0.013,3,7.435,6.752,0,27227013.0807791,0.683,"117"
"FTH1",-0.29,2,6.961,6.314,0,9141132.41470251,0.647,"176"
"FUSIP1",0.462,2,7.809,7.115,0,64416926.5515177,0.694,"64"
"FUT8",-0.919,2,7.361,0,0,22961486.4811236,1,"445"
"GalNAc-T16",-1.383,1,6.665,0,0.00014,4623810.2139926,1,"490"
"GALNT1",-1.003,9,8.107,0,0,127938130.415752,1,"459"
"GALNT16",-1.383,1,6.665,0,0.00014,4623810.2139926,1,"490"
"GALNT2",-0.887,17,8.689,0,0,488652359.342834,1,"437"
"GALNT7",-0.924,14,8.217,7.451,0,164816239.152551,0.766000000000001,"36"
"GALNTL1",-1.383,1,6.665,0,0.00014,4623810.2139926,1,"490"
"GANAB",-1.743,11,15.443,7.471,0,152101803.652426,1.646,"34"
"GBF1",-0.562,8,7.556,6.708,0,35974933.5155742,0.848,"131"
"GDI2",-0.125,4,7.416,0,0,26061535.499989,1,"288"
"GEMIN2",0.087,1,7.038,0,1e-05,10914403.3644876,1,"259"
"GLB1L2",-0.642,1,6.709,0,0.00131,5116818.35540307,1,"397"
"GLG1",-0.805,25,8.314,0,0,206062991.327,1,"424"
"GLO1",-0.163,1,6.74,0,0,5495408.73857625,1,"292"
"GLT8D1",-0.901,1,6.705,0,0,5069907.08274704,1,"439"
"GLUL",-0.216,2,7.519,6.772,0,33036954.1036815,0.747,"115"
"GNAI1",-0.178,7,8.337,6.883,0,217270117.886374,1.454,"99"
"GNAI2",-0.178,7,8.337,6.883,0,217270117.886374,1.454,"99"
"GNAI3",-0.178,7,8.337,6.883,0,217270117.886374,1.454,"99"
"GNAO1",-0.178,7,8.337,6.883,0,217270117.886374,1.454,"99"
"GNAS",0.039,2,7.387,6.581,0,24378108.1836875,0.805999999999999,"151"
